project_id,start_date,duration_days,budget_k,team_size,complexity_level,risk_score,vendor_count,deliverables_count,end_date,success
64,2021-01-02,262,54,17,Medium,2,2,7,2021-09-21,1
65,2021-02-23,105,172,2,High,9,3,2,2021-06-08,1
66,2021-04-16,294,379,15,Low,5,1,3,2022-02-04,1
67,2021-09-17,313,402,16,High,4,3,1,2022-07-27,1
68,2021-11-06,235,167,10,Low,2,0,9,2022-06-29,1
69,2021-07-10,252,343,16,High,1,0,7,2022-03-19,1
70,2021-08-06,81,446,18,Medium,7,4,1,2021-10-26,1
71,2021-02-13,173,208,5,Low,6,4,3,2021-08-05,0
72,2021-06-11,98,352,13,Medium,2,2,4,2021-09-17,1
73,2021-07-21,128,277,6,Low,8,3,4,2021-11-26,0
74,2021-09-27,54,414,6,Low,4,0,5,2021-11-20,1
75,2021-12-17,82,265,12,Medium,8,4,3,2022-03-09,1
76,2021-10-31,180,485,7,High,7,3,3,2022-04-29,0
77,2021-09-28,173,233,8,Medium,5,4,1,2022-03-20,0
78,2021-08-03,86,64,15,Medium,8,4,7,2021-10-28,0
79,2021-09-09,68,206,12,Medium,9,0,1,2021-11-16,1
80,2021-07-09,138,185,14,Medium,5,0,2,2021-11-24,1
81,2021-10-23,210,310,3,Low,5,4,4,2022-05-21,0
82,2021-08-01,71,206,8,Medium,2,1,4,2021-10-11,0
83,2021-07-27,215,96,5,Low,5,4,5,2022-02-27,1
84,2021-08-25,252,373,9,Low,3,4,2,2022-05-04,1
85,2021-12-04,151,381,14,Medium,7,2,4,2022-05-04,0
86,2021-02-22,162,222,15,Low,5,2,1,2021-08-03,0
87,2021-10-07,192,179,11,Medium,8,2,2,2022-04-17,0
88,2021-08-05,244,460,12,Medium,1,1,1,2022-04-06,0
89,2021-09-09,250,144,3,Low,3,1,4,2022-05-17,1
90,2021-07-07,264,164,10,Medium,3,4,4,2022-03-28,0
91,2021-02-10,360,292,18,Low,9,2,7,2022-02-05,1
92,2021-06-06,175,469,4,High,5,1,9,2021-11-28,0
93,2021-01-15,268,341,7,Medium,9,0,9,2021-10-10,1
94,2021-10-28,105,331,6,High,9,4,5,2022-02-10,1
95,2021-03-06,38,348,6,Medium,1,3,1,2021-04-13,1
96,2021-12-11,103,332,16,Low,2,4,1,2022-03-24,0
97,2021-11-23,282,118,18,Medium,5,3,6,2022-09-01,0
98,2021-01-09,259,197,10,High,4,2,2,2021-09-25,0
99,2021-12-10,36,60,4,Medium,9,3,8,2022-01-15,1
100,2021-05-09,203,303,18,High,7,2,9,2021-11-28,0
101,2021-05-16,170,379,11,High,6,0,4,2021-11-02,1
102,2021-03-04,197,409,4,Low,7,3,5,2021-09-17,1
103,2021-05-19,199,87,19,Low,1,4,8,2021-12-04,1
104,2021-03-22,312,183,19,Medium,1,2,3,2022-01-28,0
105,2021-06-12,151,249,18,Medium,8,4,5,2021-11-10,1
106,2021-10-16,223,72,4,High,2,1,3,2022-05-27,0
107,2021-09-18,34,352,4,High,9,2,3,2021-10-22,1
108,2021-08-19,58,395,7,Medium,7,3,3,2021-10-16,0
109,2021-02-10,194,351,14,Low,6,2,7,2021-08-23,1
110,2021-01-28,165,412,16,Medium,1,4,7,2021-07-12,0
111,2021-05-15,350,445,10,Low,1,0,7,2022-04-30,1
112,2021-07-20,174,267,5,High,2,2,8,2022-01-10,1
113,2021-11-24,356,190,15,Medium,6,3,5,2022-11-15,0
114,2021-09-25,246,153,6,Medium,6,1,5,2022-05-29,1
115,2021-02-02,330,495,3,Low,2,0,4,2021-12-29,0
116,2021-02-17,161,259,12,Medium,1,1,7,2021-07-28,0
117,2021-03-03,321,160,10,Medium,5,2,4,2022-01-18,1
118,2021-08-04,99,153,4,Medium,5,4,2,2021-11-11,0
119,2021-10-20,281,365,10,Low,2,4,4,2022-07-28,1
120,2021-04-09,304,220,4,Medium,6,3,8,2022-02-07,0
121,2021-06-21,211,405,3,High,9,4,9,2022-01-18,0
122,2021-12-26,196,373,13,Low,2,0,3,2022-07-10,1
123,2021-08-02,120,182,11,Low,2,4,7,2021-11-30,1
124,2021-02-04,231,425,10,Low,3,3,9,2021-09-23,1
125,2021-08-15,48,342,16,Medium,7,2,4,2021-10-02,0
126,2021-04-11,68,377,9,Medium,6,2,3,2021-06-18,1
127,2021-05-11,155,176,6,Medium,8,4,5,2021-10-13,1
128,2021-09-14,202,155,12,Low,8,1,1,2022-04-04,1
129,2021-01-05,170,141,3,Medium,6,2,3,2021-06-24,0
130,2021-08-06,271,336,16,Medium,3,4,8,2022-05-04,1
131,2021-09-12,249,427,7,Medium,3,3,8,2022-05-19,0
132,2021-12-25,155,442,9,High,1,4,4,2022-05-29,1
133,2021-10-10,87,100,6,Low,7,2,2,2022-01-05,1
134,2021-07-26,177,78,17,Medium,5,3,8,2022-01-19,0
135,2021-01-15,346,345,19,Medium,4,4,8,2021-12-27,0
136,2021-12-12,30,346,7,Medium,4,0,4,2022-01-11,0
137,2021-02-11,219,263,6,Medium,4,3,3,2021-09-18,1
138,2021-06-28,220,316,17,Medium,6,0,2,2022-02-03,0
139,2021-03-04,341,456,14,High,8,1,9,2022-02-08,1
140,2021-12-18,146,306,6,Low,8,3,1,2022-05-13,0
141,2021-08-19,163,351,14,Low,5,0,7,2022-01-29,1
142,2021-08-29,87,150,18,Medium,6,2,5,2021-11-24,1
143,2021-02-21,73,454,19,Medium,4,2,8,2021-05-05,0
144,2021-04-06,202,395,9,Low,9,1,4,2021-10-25,1
145,2021-08-10,189,159,14,Low,8,3,7,2022-02-15,0
146,2021-08-19,202,469,4,Low,1,3,5,2022-03-09,1
147,2021-08-25,346,231,9,High,2,3,5,2022-08-06,0
148,2021-05-23,332,362,3,Low,9,1,9,2022-04-20,1
149,2021-06-20,178,50,9,Medium,8,3,9,2021-12-15,1
150,2021-01-29,109,368,14,Low,3,2,9,2021-05-18,0
151,2021-02-05,242,487,14,Medium,8,0,6,2021-10-05,1
152,2021-01-13,232,104,2,Low,1,2,6,2021-09-02,0
153,2021-06-09,281,420,7,Medium,4,2,5,2022-03-17,1
154,2021-11-23,258,473,17,Low,3,0,9,2022-08-08,1
155,2021-07-06,193,448,9,High,6,2,8,2022-01-15,0
156,2021-08-31,256,198,2,Low,7,1,7,2022-05-14,1
157,2021-03-27,176,480,17,Medium,4,0,7,2021-09-19,0
158,2021-10-11,49,358,10,High,7,2,6,2021-11-29,0
159,2021-03-07,76,186,14,Medium,9,4,5,2021-05-22,1
160,2021-06-19,262,251,12,Medium,2,2,4,2022-03-08,0
161,2021-02-14,334,485,14,Medium,3,1,3,2022-01-14,1
162,2021-03-03,43,362,11,Medium,5,3,3,2021-04-15,1
163,2021-05-14,172,166,5,Medium,3,2,6,2021-11-02,1
164,2021-10-11,30,203,7,High,8,3,4,2021-11-10,1
165,2021-01-28,83,474,8,Medium,8,4,6,2021-04-21,0
166,2021-04-18,288,340,6,Medium,8,2,3,2022-01-31,0
167,2021-02-13,173,112,12,Medium,9,0,4,2021-08-05,1
168,2021-12-06,41,293,14,Medium,4,3,9,2022-01-16,0
169,2021-10-13,359,74,11,Low,5,4,5,2022-10-07,1
170,2021-11-27,253,139,11,Medium,5,0,7,2022-08-07,1
171,2021-05-08,301,124,12,High,8,0,2,2022-03-05,1
172,2021-12-14,185,343,8,Low,7,0,5,2022-06-17,1
173,2021-08-19,37,435,19,Medium,9,0,9,2021-09-25,1
174,2021-07-09,151,440,5,Low,8,2,3,2021-12-07,0
175,2021-08-13,193,259,3,Medium,2,2,9,2022-02-22,0
176,2021-10-10,119,467,15,Low,4,2,6,2022-02-06,0
177,2021-05-01,165,396,14,Medium,6,4,4,2021-10-13,1
178,2021-04-26,215,66,13,Medium,2,4,7,2021-11-27,1
179,2021-08-21,345,177,8,Medium,7,4,8,2022-08-01,1
180,2021-09-16,207,476,3,Medium,3,1,6,2022-04-11,0
181,2021-12-25,57,492,14,Medium,3,4,5,2022-02-20,0
182,2021-07-17,249,413,15,High,2,2,6,2022-03-23,0
183,2021-05-17,70,300,18,Low,8,2,5,2021-07-26,1
184,2021-11-14,257,228,10,Medium,6,1,8,2022-07-29,0
185,2021-06-14,221,231,18,Low,1,1,1,2022-01-21,0
186,2021-08-13,174,201,9,High,1,4,7,2022-02-03,1
187,2021-11-03,230,74,3,High,7,3,2,2022-06-21,0
188,2021-08-22,241,229,14,Medium,8,1,9,2022-04-20,1
189,2021-06-21,249,247,4,High,5,0,1,2022-02-25,1
190,2021-06-01,269,393,17,Medium,5,2,6,2022-02-25,0
191,2021-11-11,75,210,7,Medium,4,0,9,2022-01-25,0
192,2021-06-09,64,226,8,Low,6,2,1,2021-08-12,1
193,2021-04-06,282,334,11,Medium,6,2,4,2022-01-13,1
194,2021-08-21,111,112,10,Low,3,1,4,2021-12-10,1
195,2021-06-29,285,199,3,High,9,1,9,2022-04-10,0
196,2021-04-23,226,203,16,Medium,7,0,5,2021-12-05,0
197,2021-11-14,332,205,6,Medium,1,2,5,2022-10-12,1
198,2021-02-21,39,419,5,Low,7,0,6,2021-04-01,0
199,2021-09-25,341,98,5,Medium,5,3,1,2022-09-01,1
200,2021-10-22,315,386,19,Low,5,0,1,2022-09-02,0
201,2021-04-23,271,133,5,Medium,2,4,9,2022-01-19,1
202,2021-04-11,280,410,18,Low,4,0,3,2022-01-16,0
203,2021-04-23,34,226,13,High,6,4,4,2021-05-27,1
204,2021-03-22,148,197,18,Medium,7,4,1,2021-08-17,1
205,2021-07-06,318,167,11,Medium,5,4,9,2022-05-20,1
206,2021-04-23,94,391,2,Medium,9,3,8,2021-07-26,0
207,2021-01-02,175,112,19,Medium,3,0,2,2021-06-26,0
208,2021-05-10,253,238,19,Medium,1,0,8,2022-01-18,1
209,2021-08-08,268,409,15,Medium,4,3,7,2022-05-03,0
210,2021-02-23,206,98,16,High,9,2,6,2021-09-17,0
211,2021-12-09,296,376,13,Medium,4,1,1,2022-10-01,1
212,2021-08-12,311,306,5,High,2,0,7,2022-06-19,1
213,2021-08-13,92,273,4,High,5,1,7,2021-11-13,1
214,2021-05-06,246,190,13,Low,3,3,9,2022-01-07,1
215,2021-05-10,344,264,8,High,9,2,1,2022-04-19,0
216,2021-02-22,312,484,12,Low,4,2,2,2021-12-31,1
217,2021-06-21,206,428,2,High,6,2,9,2022-01-13,0
218,2021-08-06,127,489,7,Medium,2,3,9,2021-12-11,0
219,2021-06-09,134,260,16,High,6,4,6,2021-10-21,0
220,2021-07-17,128,367,16,High,3,4,6,2021-11-22,1
221,2021-09-04,340,81,12,High,9,1,4,2022-08-10,1
222,2021-11-20,35,207,3,Medium,2,4,4,2021-12-25,0
223,2021-07-22,226,334,15,Medium,9,4,5,2022-03-05,0
224,2021-07-03,162,354,3,Low,5,2,3,2021-12-12,1
225,2021-05-03,288,478,5,Medium,8,2,1,2022-02-15,0
226,2021-09-12,52,335,18,Low,2,1,1,2021-11-03,0
227,2021-10-21,82,193,4,Medium,6,0,7,2022-01-11,0
228,2021-10-07,194,473,14,Medium,3,1,1,2022-04-19,0
229,2021-11-21,231,68,10,High,5,1,1,2022-07-10,0
230,2021-04-08,112,67,8,Medium,8,3,3,2021-07-29,0
231,2021-07-17,174,306,16,High,1,3,4,2022-01-07,0
232,2021-08-28,114,127,12,Low,5,1,4,2021-12-20,0
233,2021-05-24,107,420,3,High,3,1,2,2021-09-08,1
234,2021-04-07,30,224,16,High,4,1,1,2021-05-07,0
235,2021-07-20,80,243,15,Medium,2,4,3,2021-10-08,1
236,2021-05-04,202,162,12,Medium,9,3,4,2021-11-22,1
237,2021-07-06,234,163,4,Medium,3,1,3,2022-02-25,1
238,2021-11-22,289,271,18,Low,2,2,8,2022-09-07,1
239,2021-12-15,317,215,13,Medium,9,2,1,2022-10-28,0
240,2021-09-16,63,484,16,Medium,7,4,2,2021-11-18,1
241,2021-05-28,124,368,17,Low,6,4,7,2021-09-29,0
242,2021-09-09,101,181,6,Medium,1,0,4,2021-12-19,0
243,2021-12-12,68,434,7,Low,5,0,8,2022-02-18,1
244,2021-05-27,183,313,6,Low,3,0,3,2021-11-26,1
245,2021-05-28,279,462,4,Low,1,4,6,2022-03-03,0
246,2021-12-18,191,104,2,High,4,4,9,2022-06-27,0
247,2021-07-18,147,408,7,Medium,2,4,1,2021-12-12,1
248,2021-11-04,288,180,16,High,2,2,1,2022-08-19,0
249,2021-05-08,335,337,3,Medium,3,4,8,2022-04-08,1
250,2021-02-08,297,315,4,Medium,8,2,3,2021-12-02,1
251,2021-12-04,83,415,18,Medium,8,0,5,2022-02-25,0
252,2021-12-26,265,211,13,Medium,7,0,1,2022-09-17,1
253,2021-05-09,251,429,19,Low,6,0,5,2022-01-15,1
254,2021-09-24,280,136,16,Medium,9,1,6,2022-07-01,1
255,2021-05-31,342,104,13,Low,4,1,8,2022-05-08,0
256,2021-10-25,141,337,17,Medium,1,3,3,2022-03-15,0
257,2021-04-09,284,227,9,Medium,8,3,3,2022-01-18,1
258,2021-09-20,332,440,15,Low,7,3,9,2022-08-18,0
259,2021-09-09,236,398,18,Low,7,1,4,2022-05-03,1
260,2021-05-24,258,57,9,Medium,3,1,4,2022-02-06,1
261,2021-12-12,95,370,16,Medium,4,3,7,2022-03-17,1
262,2021-04-22,104,362,15,Low,9,3,2,2021-08-04,0
263,2021-03-01,132,296,19,High,6,4,8,2021-07-11,0
264,2021-01-02,221,372,8,Low,5,3,6,2021-08-11,1
265,2021-10-31,281,492,4,Medium,3,4,3,2022-08-08,0
266,2021-09-11,255,304,13,High,9,2,9,2022-05-24,0
267,2021-05-20,323,377,4,Low,5,1,5,2022-04-08,1
268,2021-02-06,335,103,15,Low,5,3,8,2022-01-07,0
269,2021-06-09,127,298,16,Low,4,1,7,2021-10-14,1
270,2021-01-09,315,288,15,Medium,4,1,8,2021-11-20,1
271,2021-08-21,364,278,8,Low,1,1,7,2022-08-20,1
272,2021-04-09,337,116,18,Medium,7,2,3,2022-03-12,0
273,2021-05-27,278,100,13,Low,9,0,2,2022-03-01,1
274,2021-10-31,195,146,5,Medium,3,3,7,2022-05-14,0
275,2021-07-27,364,141,10,High,2,0,3,2022-07-26,1
276,2021-05-11,59,313,7,High,3,0,3,2021-07-09,1
277,2021-06-01,276,467,17,Medium,1,0,2,2022-03-04,1
278,2021-02-23,135,340,3,Medium,6,1,4,2021-07-08,1
279,2021-04-30,80,145,9,Medium,7,4,8,2021-07-19,1
280,2021-06-10,110,137,12,Medium,2,1,1,2021-09-28,1
281,2021-04-26,162,127,14,Medium,8,1,1,2021-10-05,1
282,2021-03-16,314,337,18,Low,6,0,5,2022-01-24,0
283,2021-04-23,167,169,9,High,4,1,5,2021-10-07,0
284,2021-04-14,213,351,19,Medium,5,0,1,2021-11-13,1
285,2021-12-06,359,449,19,Low,8,4,6,2022-11-30,1
286,2021-09-11,302,214,15,Medium,3,3,1,2022-07-10,1
287,2021-08-15,98,231,16,Medium,3,0,5,2021-11-21,1
288,2021-04-22,63,447,7,High,4,4,9,2021-06-24,0
289,2021-04-09,291,272,12,Medium,1,3,5,2022-01-25,0
290,2021-06-02,82,360,14,Medium,9,2,6,2021-08-23,1
291,2021-12-15,234,481,2,Low,8,0,8,2022-08-06,0
292,2021-12-04,155,56,7,Medium,8,0,1,2022-05-08,0
293,2021-07-13,264,379,10,Medium,6,2,2,2022-04-03,1
294,2021-11-06,72,312,9,Low,7,2,9,2022-01-17,0
295,2021-06-12,269,210,12,Low,6,0,3,2022-03-08,1
296,2021-07-27,140,200,10,Medium,9,2,6,2021-12-14,1
297,2021-06-18,278,134,18,Low,3,1,5,2022-03-23,0
298,2021-06-10,180,196,13,Medium,3,3,2,2021-12-07,0
299,2021-03-09,212,161,15,Low,3,3,7,2021-10-07,0
300,2021-10-16,124,430,16,Low,3,3,4,2022-02-17,0
301,2021-10-04,37,452,17,Low,9,1,1,2021-11-10,1
302,2021-10-31,213,85,2,High,4,2,4,2022-06-01,0
303,2021-05-15,310,334,11,High,7,4,6,2022-03-21,0
304,2021-07-14,224,237,9,High,9,2,7,2022-02-23,1
305,2021-05-08,224,131,19,Medium,7,0,7,2021-12-18,1
306,2021-02-02,184,51,2,Low,9,3,7,2021-08-05,0
307,2021-06-25,122,434,3,Medium,3,2,3,2021-10-25,1
308,2021-01-22,189,352,2,Medium,4,4,6,2021-07-30,1
309,2021-08-26,90,246,2,High,8,0,8,2021-11-24,0
310,2021-06-07,151,453,10,Low,6,1,4,2021-11-05,1
311,2021-02-07,80,60,14,Medium,5,1,8,2021-04-28,0
312,2021-08-18,306,283,2,Low,4,4,2,2022-06-20,1
313,2021-12-31,34,435,14,Medium,8,0,9,2022-02-03,1
314,2021-02-20,121,244,8,Medium,1,3,9,2021-06-21,1
315,2021-09-21,199,168,3,Medium,9,2,8,2022-04-08,0
316,2021-10-10,346,445,7,Medium,1,0,1,2022-09-21,1
317,2021-01-27,51,69,8,Medium,8,1,2,2021-03-19,1
318,2021-08-14,355,310,15,Medium,4,4,6,2022-08-04,0
319,2021-10-04,30,342,19,Medium,9,4,5,2021-11-03,0
320,2021-10-13,162,471,16,High,5,2,9,2022-03-24,0
321,2021-04-07,262,305,3,High,3,4,5,2021-12-25,0
322,2021-10-11,41,271,11,Medium,9,4,2,2021-11-21,1
323,2021-11-13,75,442,13,Medium,9,0,4,2022-01-27,0
324,2021-10-31,63,275,18,Medium,4,3,9,2022-01-02,0
325,2021-05-27,107,102,9,Medium,4,2,1,2021-09-11,1
326,2021-01-04,247,477,12,Low,8,0,1,2021-09-08,0
327,2021-02-04,330,404,4,High,2,3,7,2021-12-31,0
328,2021-07-11,102,391,7,Low,9,0,3,2021-10-21,1
329,2021-02-18,311,413,10,High,6,0,2,2021-12-26,0
330,2021-01-17,278,329,7,Medium,9,4,9,2021-10-22,0
331,2021-06-21,76,130,10,Medium,8,3,3,2021-09-05,0
332,2021-08-08,150,251,8,Medium,7,2,2,2022-01-05,1
333,2021-06-07,243,207,10,High,1,2,8,2022-02-05,0
334,2021-02-15,268,169,19,Medium,3,3,6,2021-11-10,0
335,2021-01-06,85,108,13,Medium,2,4,6,2021-04-01,1
336,2021-04-09,136,264,9,Low,5,1,7,2021-08-23,1
337,2021-08-21,348,177,9,Medium,5,0,7,2022-08-04,0
338,2021-02-06,77,273,19,Low,5,4,6,2021-04-24,1
339,2021-10-07,90,258,16,Medium,4,3,4,2022-01-05,1
340,2021-12-15,55,419,8,Medium,5,0,9,2022-02-08,0
341,2021-10-29,321,164,12,Medium,3,2,6,2022-09-15,1
342,2021-06-30,286,258,17,Low,1,1,4,2022-04-12,0
343,2021-04-05,37,63,5,Low,5,2,3,2021-05-12,1
344,2021-04-09,142,58,7,Medium,9,3,4,2021-08-29,1
345,2021-07-07,282,89,4,Low,9,0,3,2022-04-15,1
346,2021-04-26,209,499,10,Low,4,3,2,2021-11-21,1
347,2021-07-10,236,286,11,Low,3,0,5,2022-03-03,0
348,2021-09-10,332,330,15,High,1,4,2,2022-08-08,1
349,2021-06-10,156,408,12,Medium,2,1,6,2021-11-13,1
350,2021-09-13,85,250,19,Medium,8,4,3,2021-12-07,0
351,2021-11-19,243,295,13,Low,1,4,6,2022-07-20,1
352,2021-05-08,43,327,13,Medium,8,3,9,2021-06-20,1
353,2021-01-18,57,284,14,Medium,7,1,1,2021-03-16,0
354,2021-10-08,107,53,14,Medium,8,0,6,2022-01-23,0
355,2021-08-11,245,203,15,Low,6,0,9,2022-04-13,1
356,2021-02-23,183,491,5,Low,9,2,4,2021-08-25,1
357,2021-02-27,43,78,14,Low,3,0,2,2021-04-11,0
358,2021-11-19,216,158,9,Medium,4,3,4,2022-06-23,0
359,2021-12-26,341,147,13,Medium,6,4,1,2022-12-02,1
360,2021-06-23,36,264,19,Low,8,4,3,2021-07-29,1
361,2021-10-07,32,342,7,Low,5,4,9,2021-11-08,0
362,2021-04-24,140,124,19,Low,3,1,5,2021-09-11,1
363,2021-10-15,267,375,6,High,6,0,6,2022-07-09,0
364,2021-12-08,268,195,10,Low,4,3,3,2022-09-02,1
365,2021-05-31,303,177,4,Medium,9,1,5,2022-03-30,0
366,2021-05-07,323,390,11,Medium,3,2,8,2022-03-26,1
367,2021-06-04,256,91,4,Medium,4,3,6,2022-02-15,1
368,2021-09-30,44,405,16,Low,7,3,4,2021-11-13,0
369,2021-04-14,221,90,2,Low,7,3,2,2021-11-21,1
370,2021-10-26,148,471,8,Medium,4,4,9,2022-03-23,0
371,2021-09-03,57,83,13,Medium,6,3,1,2021-10-30,0
372,2021-06-25,231,66,18,Medium,3,0,1,2022-02-11,1
373,2021-02-08,68,214,6,Medium,6,3,4,2021-04-17,1
374,2021-06-19,302,202,5,Low,2,4,7,2022-04-17,0
375,2021-09-04,260,427,13,High,8,3,1,2022-05-22,0
376,2021-01-26,115,125,19,Medium,2,2,9,2021-05-21,0
377,2021-12-21,155,136,18,Low,7,2,4,2022-05-25,1
378,2021-11-02,329,166,10,High,9,4,3,2022-09-27,0
379,2021-01-13,54,411,5,Medium,1,0,1,2021-03-08,1
380,2021-11-12,174,391,3,Medium,8,0,4,2022-05-05,1
381,2021-11-09,42,76,5,Medium,7,1,9,2021-12-21,1
382,2021-02-05,241,362,3,High,6,4,6,2021-10-04,0
383,2021-06-22,54,336,16,Medium,6,3,6,2021-08-15,1
384,2021-01-20,97,183,3,Low,6,4,1,2021-04-27,1
385,2021-11-17,96,268,5,Medium,9,1,2,2022-02-21,1
386,2021-09-21,262,217,7,High,2,4,6,2022-06-10,0
387,2021-05-22,138,147,8,Low,1,4,2,2021-10-07,1
388,2021-05-23,175,317,11,Medium,6,1,3,2021-11-14,1
389,2021-04-02,140,286,13,Medium,8,0,4,2021-08-20,1
390,2021-12-20,257,358,4,Medium,3,3,5,2022-09-03,1
391,2021-11-18,140,443,14,Medium,1,1,9,2022-04-07,1
392,2021-10-15,63,222,19,High,9,2,4,2021-12-17,1
393,2021-08-03,140,450,9,Low,1,0,9,2021-12-21,1
394,2021-12-08,293,459,16,Low,3,2,3,2022-09-27,0
395,2021-02-20,265,239,2,Low,8,0,8,2021-11-12,1
396,2021-06-02,112,171,4,High,3,3,1,2021-09-22,1
397,2021-07-05,71,95,9,Medium,4,3,9,2021-09-14,1
398,2021-03-04,130,113,5,Low,8,4,9,2021-07-12,0
399,2021-07-09,35,179,17,High,1,2,2,2021-08-13,0
400,2021-05-05,209,359,11,High,6,0,4,2021-11-30,0
401,2021-05-30,311,412,13,High,1,3,8,2022-04-06,1
402,2021-11-10,349,242,15,High,1,1,7,2022-10-25,0
403,2021-02-27,255,356,15,Low,8,3,1,2021-11-09,0
404,2021-12-08,344,230,3,Medium,4,1,5,2022-11-17,0
405,2021-11-01,258,341,6,Medium,1,0,7,2022-07-17,0
406,2021-06-29,318,420,6,High,7,3,4,2022-05-13,1
407,2021-06-19,179,331,7,Medium,5,3,1,2021-12-15,1
408,2021-11-22,306,78,14,Medium,5,0,9,2022-09-24,1
409,2021-09-28,227,198,10,Medium,1,3,5,2022-05-13,1
410,2021-02-23,99,316,16,Low,6,1,2,2021-06-02,1
411,2021-04-11,141,345,15,Medium,9,3,8,2021-08-30,1
412,2021-09-21,33,60,8,High,9,2,2,2021-10-24,0
413,2021-02-22,360,213,3,High,8,4,3,2022-02-17,1
414,2021-03-01,347,162,8,Low,5,1,1,2022-02-11,0
415,2021-04-18,124,236,7,Low,1,2,2,2021-08-20,1
416,2021-01-05,181,344,18,Low,9,0,7,2021-07-05,0
417,2021-04-13,340,281,3,Medium,1,1,2,2022-03-19,1
